nohup: ignoring input
[full] 420 runs target on 6 7 (resumable: skips completed)
=== frame tier: 200f ===
  [15:02:12] GPU6 P1-none chess/seq-03 f200 s0
  [15:02:12] GPU7 P1-none chess/seq-03 f200 s1
  [15:04:22] GPU6 P1-none chess/seq-03 f200 s2
  [15:04:22] GPU7 P1-none chess/seq-03 f200 s3
  [15:06:30] GPU6 P1-none chess/seq-03 f200 s4
  [15:06:30] GPU7 P1-none fire/seq-03 f200 s0
  [15:08:38] GPU6 P1-none fire/seq-03 f200 s1
  [15:08:38] GPU7 P1-none fire/seq-03 f200 s2
  [15:10:46] GPU6 P1-none fire/seq-03 f200 s3
  [15:10:46] GPU7 P1-none fire/seq-03 f200 s4
  [15:12:52] GPU6 P1-none office/seq-03 f200 s0
  [15:12:52] GPU7 P1-none office/seq-03 f200 s1
  [15:15:05] GPU6 P1-none office/seq-03 f200 s2
  [15:15:05] GPU7 P1-none office/seq-03 f200 s3
  [15:17:15] GPU6 P1-none office/seq-03 f200 s4
  [15:17:15] GPU7 P1-none redkitchen/seq-03 f200 s0
  [15:19:23] GPU6 P1-none redkitchen/seq-03 f200 s1
  [15:19:23] GPU7 P1-none redkitchen/seq-03 f200 s2
  [15:21:31] GPU6 P1-none redkitchen/seq-03 f200 s3
  [15:21:31] GPU7 P1-none redkitchen/seq-03 f200 s4
  [15:23:46] GPU6 P1-current chess/seq-03 f200 s0
  [15:23:46] GPU7 P1-current chess/seq-03 f200 s1
  [15:25:56] GPU6 P1-current chess/seq-03 f200 s2
  [15:25:56] GPU7 P1-current chess/seq-03 f200 s3
  [15:28:07] GPU6 P1-current chess/seq-03 f200 s4
  [15:28:07] GPU7 P1-current fire/seq-03 f200 s0
  [15:30:16] GPU6 P1-current fire/seq-03 f200 s1
  [15:30:16] GPU7 P1-current fire/seq-03 f200 s2
  [15:32:24] GPU6 P1-current fire/seq-03 f200 s3
  [15:32:24] GPU7 P1-current fire/seq-03 f200 s4
  [15:34:35] GPU6 P1-current office/seq-03 f200 s0
  [15:34:35] GPU7 P1-current office/seq-03 f200 s1
  [15:36:44] GPU6 P1-current office/seq-03 f200 s2
  [15:36:44] GPU7 P1-current office/seq-03 f200 s3
  [15:38:55] GPU6 P1-current office/seq-03 f200 s4
  [15:38:55] GPU7 P1-current redkitchen/seq-03 f200 s0
  [15:41:05] GPU6 P1-current redkitchen/seq-03 f200 s1
  [15:41:05] GPU7 P1-current redkitchen/seq-03 f200 s2
  [15:43:14] GPU6 P1-current redkitchen/seq-03 f200 s3
  [15:43:14] GPU7 P1-current redkitchen/seq-03 f200 s4
  [15:45:26] GPU6 P1-v1cap chess/seq-03 f200 s0
  [15:45:26] GPU7 P1-v1cap chess/seq-03 f200 s1
  [15:47:36] GPU6 P1-v1cap chess/seq-03 f200 s2
  [15:47:36] GPU7 P1-v1cap chess/seq-03 f200 s3
  [15:49:52] GPU6 P1-v1cap chess/seq-03 f200 s4
  [15:49:52] GPU7 P1-v1cap fire/seq-03 f200 s0
  [15:52:02] GPU6 P1-v1cap fire/seq-03 f200 s1
  [15:52:02] GPU7 P1-v1cap fire/seq-03 f200 s2
  [15:54:12] GPU6 P1-v1cap fire/seq-03 f200 s3
  [15:54:12] GPU7 P1-v1cap fire/seq-03 f200 s4
  [15:56:22] GPU6 P1-v1cap office/seq-03 f200 s0
  [15:56:22] GPU7 P1-v1cap office/seq-03 f200 s1
  [15:58:32] GPU6 P1-v1cap office/seq-03 f200 s2
  [15:58:32] GPU7 P1-v1cap office/seq-03 f200 s3
  [16:00:41] GPU6 P1-v1cap office/seq-03 f200 s4
  [16:00:41] GPU7 P1-v1cap redkitchen/seq-03 f200 s0
  [16:02:53] GPU6 P1-v1cap redkitchen/seq-03 f200 s1
  [16:02:53] GPU7 P1-v1cap redkitchen/seq-03 f200 s2
  [16:05:04] GPU6 P1-v1cap redkitchen/seq-03 f200 s3
  [16:05:04] GPU7 P1-v1cap redkitchen/seq-03 f200 s4
  [16:07:15] GPU6 P1-mechC-r0.1 chess/seq-03 f200 s0
  [16:07:15] GPU7 P1-mechC-r0.1 chess/seq-03 f200 s1
  [16:09:25] GPU6 P1-mechC-r0.1 chess/seq-03 f200 s2
  [16:09:25] GPU7 P1-mechC-r0.1 chess/seq-03 f200 s3
  [16:11:34] GPU6 P1-mechC-r0.1 chess/seq-03 f200 s4
  [16:11:34] GPU7 P1-mechC-r0.1 fire/seq-03 f200 s0
  [16:13:43] GPU6 P1-mechC-r0.1 fire/seq-03 f200 s1
  [16:13:43] GPU7 P1-mechC-r0.1 fire/seq-03 f200 s2
  [16:15:53] GPU6 P1-mechC-r0.1 fire/seq-03 f200 s3
  [16:15:53] GPU7 P1-mechC-r0.1 fire/seq-03 f200 s4
  [16:18:01] GPU6 P1-mechC-r0.1 office/seq-03 f200 s0
  [16:18:01] GPU7 P1-mechC-r0.1 office/seq-03 f200 s1
  [16:20:11] GPU6 P1-mechC-r0.1 office/seq-03 f200 s2
  [16:20:11] GPU7 P1-mechC-r0.1 office/seq-03 f200 s3
  [16:22:22] GPU6 P1-mechC-r0.1 office/seq-03 f200 s4
  [16:22:22] GPU7 P1-mechC-r0.1 redkitchen/seq-03 f200 s0
  [16:24:32] GPU6 P1-mechC-r0.1 redkitchen/seq-03 f200 s1
  [16:24:32] GPU7 P1-mechC-r0.1 redkitchen/seq-03 f200 s2
  [16:26:41] GPU6 P1-mechC-r0.1 redkitchen/seq-03 f200 s3
  [16:26:41] GPU7 P1-mechC-r0.1 redkitchen/seq-03 f200 s4
  [16:28:53] GPU6 P1-mechC-r0.2 chess/seq-03 f200 s0
  [16:28:53] GPU7 P1-mechC-r0.2 chess/seq-03 f200 s1
  [16:31:03] GPU6 P1-mechC-r0.2 chess/seq-03 f200 s2
  [16:31:03] GPU7 P1-mechC-r0.2 chess/seq-03 f200 s3
  [16:33:12] GPU6 P1-mechC-r0.2 chess/seq-03 f200 s4
  [16:33:12] GPU7 P1-mechC-r0.2 fire/seq-03 f200 s0
  [16:35:22] GPU6 P1-mechC-r0.2 fire/seq-03 f200 s1
  [16:35:22] GPU7 P1-mechC-r0.2 fire/seq-03 f200 s2
  [16:37:30] GPU6 P1-mechC-r0.2 fire/seq-03 f200 s3
  [16:37:30] GPU7 P1-mechC-r0.2 fire/seq-03 f200 s4
  [16:39:39] GPU6 P1-mechC-r0.2 office/seq-03 f200 s0
  [16:39:39] GPU7 P1-mechC-r0.2 office/seq-03 f200 s1
  [16:41:53] GPU6 P1-mechC-r0.2 office/seq-03 f200 s2
  [16:41:53] GPU7 P1-mechC-r0.2 office/seq-03 f200 s3
  [16:44:03] GPU6 P1-mechC-r0.2 office/seq-03 f200 s4
  [16:44:03] GPU7 P1-mechC-r0.2 redkitchen/seq-03 f200 s0
  [16:46:13] GPU6 P1-mechC-r0.2 redkitchen/seq-03 f200 s1
  [16:46:13] GPU7 P1-mechC-r0.2 redkitchen/seq-03 f200 s2
  [16:48:23] GPU6 P1-mechC-r0.2 redkitchen/seq-03 f200 s3
  [16:48:23] GPU7 P1-mechC-r0.2 redkitchen/seq-03 f200 s4
  [16:50:33] GPU6 P1-mechC-r0.3 chess/seq-03 f200 s0
  [16:50:33] GPU7 P1-mechC-r0.3 chess/seq-03 f200 s1
  [16:52:43] GPU6 P1-mechC-r0.3 chess/seq-03 f200 s2
  [16:52:43] GPU7 P1-mechC-r0.3 chess/seq-03 f200 s3
  [16:54:54] GPU6 P1-mechC-r0.3 chess/seq-03 f200 s4
  [16:54:54] GPU7 P1-mechC-r0.3 fire/seq-03 f200 s0
  [16:57:05] GPU6 P1-mechC-r0.3 fire/seq-03 f200 s1
  [16:57:05] GPU7 P1-mechC-r0.3 fire/seq-03 f200 s2
  [16:59:14] GPU6 P1-mechC-r0.3 fire/seq-03 f200 s3
  [16:59:14] GPU7 P1-mechC-r0.3 fire/seq-03 f200 s4
  [17:01:22] GPU6 P1-mechC-r0.3 office/seq-03 f200 s0
  [17:01:22] GPU7 P1-mechC-r0.3 office/seq-03 f200 s1
  [17:03:34] GPU6 P1-mechC-r0.3 office/seq-03 f200 s2
  [17:03:34] GPU7 P1-mechC-r0.3 office/seq-03 f200 s3
  [17:05:52] GPU6 P1-mechC-r0.3 office/seq-03 f200 s4
  [17:05:52] GPU7 P1-mechC-r0.3 redkitchen/seq-03 f200 s0
  [17:08:02] GPU6 P1-mechC-r0.3 redkitchen/seq-03 f200 s1
  [17:08:02] GPU7 P1-mechC-r0.3 redkitchen/seq-03 f200 s2
  [17:10:12] GPU6 P1-mechC-r0.3 redkitchen/seq-03 f200 s3
  [17:10:12] GPU7 P1-mechC-r0.3 redkitchen/seq-03 f200 s4
  [17:12:25] GPU6 P1-mechC-r0.5 chess/seq-03 f200 s0
  [17:12:25] GPU7 P1-mechC-r0.5 chess/seq-03 f200 s1
  [17:14:35] GPU6 P1-mechC-r0.5 chess/seq-03 f200 s2
  [17:14:35] GPU7 P1-mechC-r0.5 chess/seq-03 f200 s3
  [17:16:45] GPU6 P1-mechC-r0.5 chess/seq-03 f200 s4
  [17:16:45] GPU7 P1-mechC-r0.5 fire/seq-03 f200 s0
  [17:18:52] GPU6 P1-mechC-r0.5 fire/seq-03 f200 s1
  [17:18:52] GPU7 P1-mechC-r0.5 fire/seq-03 f200 s2
  [17:21:00] GPU6 P1-mechC-r0.5 fire/seq-03 f200 s3
  [17:21:00] GPU7 P1-mechC-r0.5 fire/seq-03 f200 s4
  [17:23:09] GPU6 P1-mechC-r0.5 office/seq-03 f200 s0
  [17:23:09] GPU7 P1-mechC-r0.5 office/seq-03 f200 s1
  [17:25:21] GPU6 P1-mechC-r0.5 office/seq-03 f200 s2
  [17:25:21] GPU7 P1-mechC-r0.5 office/seq-03 f200 s3
  [17:27:31] GPU6 P1-mechC-r0.5 office/seq-03 f200 s4
  [17:27:31] GPU7 P1-mechC-r0.5 redkitchen/seq-03 f200 s0
